code|surfacearea|indepyear|population|lifeexpectancy|gnp|gnpold|localname|governmentform|headofstate|capital|code2
AFG|652090|1919|22720000|45.9|5976.00||Afganistan/Afqanestan|Islamic Emirate|Mohammad Omar|1|AF
NLD|41526|1581|15864000|78.3|371362.00|360478.00|Nederland|Constitutional Monarchy|Beatrix|5|NL
ALB|28748|1912|3401200|71.6|3205.00|2500.00|Shqipëria|Republic|Rexhep Mejdani|34|AL
AND|468|1278|78000|83.5|1630.00||Andorra|Parliamentary Coprincipality||55|AD
ARE|83600|1971|2441000|74.1|37966.00|36846.00|Al-Imarat al-´Arabiya al-Muttahida|Emirate Federation|Zayid bin Sultan al-Nahayan|65|AE
ARM|29800|1991|3520000|66.4|1813.00|1627.00|Hajastan|Republic|Robert Kotarjan|126|AM
AZE|86600|1991|7734000|62.9|4127.00|4100.00|Azärbaycan|Federal Republic|Heydär Äliyev|144|AZ
BHR|694|1971|617000|73|6366.00|6097.00|Al-Bahrayn|Monarchy (Emirate)|Hamad ibn Isa al-Khalifa|149|BH
BGD|143998|1971|129155000|60.2|32852.00|31966.00|Bangladesh|Republic|Shahabuddin Ahmad|150|BD
BEL|30518|1830|10239000|77.8|249704.00|243948.00|België/Belgique|Constitutional Monarchy, Federation|Albert II|179|BE
BTN|47000|1910|2124000|52.4|372.00|383.00|Druk-Yul|Monarchy|Jigme Singye Wangchuk|192|BT
BIH|51197|1992|3972000|71.5|2841.00||Bosna i Hercegovina|Federal Republic|Ante Jelavic|201|BA
GBR|242900|1066|59623400|77.7|1378330.00|1296830.00|United Kingdom|Constitutional Monarchy|Elisabeth II|456|GB
BRN|5765|1984|328000|73.6|11705.00|12460.00|Brunei Darussalam|Monarchy (Sultanate)|Haji Hassan al-Bolkiah|538|BN
BGR|110994|1908|8190900|70.9|12178.00|10169.00|Balgarija|Republic|Petar Stojanov|539|BG
ESP|505992|1492|39441700|78.8|553233.00|532031.00|España|Constitutional Monarchy|Juan Carlos I|653|ES
PHL|300000|1946|75967000|67.5|65107.00|82239.00|Pilipinas|Republic|Gloria Macapagal-Arroyo|766|PH
FRO|1399||43000|78.4|0.00||Føroyar|Part of Denmark|Margrethe II|901|FO
